images,currentobject,xstart,xend,ystart,yend,,
chair_good_blue_1.png,Scene1,0.3,0.6,0.3,0.7,,
chair_good_blue_2.png,Scene2,0.3,0.6,0.3,0.7,,
chair_good_blue_3.png,Scene3,0.3,0.6,0.3,0.7,,
chair_good_green_1.png,Scene1,0.3,0.6,0.3,0.7,,
chair_good_green_2.png,Scene2,0.3,0.6,0.3,0.7,,
chair_good_green_3.png,Scene3,0.3,0.6,0.3,0.7,,
chair_good_yellow_1.png,Scene1,0.3,0.6,0.3,0.7,,
chair_good_yellow_2.png,Scene2,0.3,0.6,0.3,0.7,,
chair_good_yellow_3.png,Scene3,0.3,0.6,0.3,0.7,,
cupcake_bad_blue_1.png,Scene1,0.3,0.7,0.3,0.7,,
cupcake_bad_blue_2.png,Scene2,0.3,0.6,0.3,0.7,,
cupcake_bad_blue_3.png,Scene3,0.3,0.7,0.4,0.8,,
cupcake_bad_green_1.png,Scene1,0.3,0.7,0.3,0.7,,
cupcake_bad_green_2.png,Scene2,0.3,0.6,0.3,0.7,,
cupcake_bad_green_3.png,Scene3,0.3,0.7,0.4,0.8,,
cupcake_bad_yellow_1.png,Scene1,0.3,0.7,0.3,0.7,,
cupcake_bad_yellow_2.png,Scene2,0.3,0.6,0.3,0.7,,
cupcake_bad_yellow_3.png,Scene3,0.3,0.7,0.4,0.8,,
cupcake_good_blue_1.png,Scene1,0.3,0.7,0.3,0.7,,
cupcake_good_blue_2.png,Scene2,0.3,0.6,0.4,0.7,,
cupcake_good_blue_3.png,Scene3,0.3,0.6,0.4,0.7,,
cupcake_good_green_1.png,Scene1,0.3,0.7,0.3,0.7,,
cupcake_good_green_2.png,Scene2,0.3,0.6,0.4,0.7,,
cupcake_good_green_3.png,Scene3,0.3,0.6,0.4,0.7,,
cupcake_good_yellow_1.png,Scene1,0.3,0.7,0.3,0.7,,
cupcake_good_yellow_2.png,Scene2,0.3,0.6,0.4,0.7,,
cupcake_good_yellow_3.png,Scene3,0.3,0.6,0.4,0.7,,
fishing_bad_blue_1.png,Scene1,0.3,0.7,0.3,0.8,,
fishing_bad_blue_2.png,Scene2,0.3,0.6,0.3,0.8,,
fishing_bad_blue_3.png,Scene3,0.2,0.6,0.4,0.8,,
fishing_bad_green_1.png,Scene1,0.3,0.7,0.3,0.8,,
fishing_bad_green_2.png,Scene2,0.3,0.6,0.3,0.8,,
fishing_bad_green_3.png,Scene3,0.2,0.6,0.4,0.8,,
fishing_bad_yellow_1.png,Scene1,0.3,0.7,0.3,0.8,,
fishing_bad_yellow_2.png,Scene2,0.3,0.6,0.3,0.8,,
fishing_bad_yellow_3.png,Scene3,0.2,0.6,0.4,0.8,,
fishing_good_blue_1.png,Scene1,0.3,0.7,0.3,0.8,,
fishing_good_blue_2.png,Scene2,0.3,0.6,0.3,0.8,,
fishing_good_blue_3.png,Scene3,0.3,0.6,0.2,0.8,,
fishing_good_green_1.png,Scene1,0.3,0.7,0.3,0.8,,
fishing_good_green_2.png,Scene2,0.3,0.6,0.3,0.8,,
fishing_good_green_3.png,Scene3,0.3,0.6,0.2,0.8,,
fishing_good_yellow_1.png,Scene1,0.3,0.7,0.3,0.8,,
fishing_good_yellow_2.png,Scene2,0.3,0.6,0.3,0.8,,
fishing_good_yellow_3.png,Scene3,0.3,0.6,0.2,0.8,,
flower_bad_blue_1.png,Scene1,0.2,0.6,0.4,0.8,,
flower_bad_blue_2.png,Scene2,0.2,0.5,0.4,0.8,,
flower_bad_blue_3.png,Scene3,0.2,0.6,0.4,0.8,,
flower_bad_green_1.png,Scene1,0.2,0.6,0.4,0.8,,
flower_bad_green_2.png,Scene2,0.2,0.5,0.4,0.8,,
flower_bad_green_3.png,Scene3,0.2,0.6,0.4,0.8,,
flower_bad_yellow_1.png,Scene1,0.2,0.6,0.4,0.8,,
flower_bad_yellow_2.png,Scene2,0.2,0.5,0.4,0.8,,
flower_bad_yellow_3.png,Scene3,0.2,0.6,0.4,0.8,,
flower_good_blue_1.png,Scene1,0.2,0.6,0.4,0.8,,
flower_good_blue_2.png,Scene2,0.3,0.6,0.4,0.8,,
flower_good_blue_3.png,Scene3,0.3,0.6,0.4,0.8,,
flower_good_green_1.png,Scene1,0.2,0.6,0.4,0.8,,
flower_good_green_2.png,Scene2,0.3,0.6,0.4,0.8,,
flower_good_green_3.png,Scene3,0.3,0.6,0.4,0.8,,
flower_good_yellow_1.png,Scene1,0.2,0.6,0.4,0.8,,
flower_good_yellow_2.png,Scene2,0.3,0.6,0.4,0.8,,
flower_good_yellow_3.png,Scene3,0.3,0.6,0.4,0.8,,
log_good_blue_1.png,Scene1,0.3,0.8,0.4,0.8,,
log_good_blue_2.png,Scene2,0.2,0.5,0.4,0.8,,
log_good_blue_3.png,Scene3,0.2,0.5,0.4,0.8,,
log_good_green_1.png,Scene1,0.3,0.8,0.4,0.8,,
log_good_green_2.png,Scene2,0.2,0.5,0.4,0.8,,
log_good_green_3.png,Scene3,0.2,0.5,0.4,0.8,,
log_good_yellow_1.png,Scene1,0.3,0.8,0.4,0.8,,
log_good_yellow_2.png,Scene2,0.2,0.5,0.4,0.8,,
log_good_yellow_3.png,Scene3,0.2,0.5,0.4,0.8,,
picnic_good_blue_1.png,Scene1,0.2,0.8,0.4,0.8,,
picnic_good_blue_2.png,Scene2,0.3,0.7,0.4,0.8,,
picnic_good_blue_3.png,Scene3,0.3,0.7,0.4,0.8,,
picnic_good_green_1.png,Scene1,0.2,0.8,0.4,0.8,,
picnic_good_green_2.png,Scene2,0.3,0.7,0.4,0.8,,
picnic_good_green_3.png,Scene3,0.3,0.7,0.4,0.8,,
picnic_good_yellow_1.png,Scene1,0.2,0.8,0.4,0.8,,
picnic_good_yellow_2.png,Scene2,0.3,0.7,0.4,0.8,,
picnic_good_yellow_3.png,Scene3,0.3,0.7,0.4,0.8,,
playground_bad_blue_1.png,Scene1,0.3,0.7,0.3,0.7,,
playground_bad_blue_2.png,Scene2,0.4,0.7,0.4,0.7,,
playground_bad_blue_3.png,Scene3,0.4,0.7,0.4,0.8,,
playground_bad_green_1.png,Scene1,0.3,0.7,0.3,0.7,,
playground_bad_green_2.png,Scene2,0.4,0.7,0.4,0.7,,
playground_bad_green_3.png,Scene3,0.4,0.7,0.4,0.8,,
playground_bad_yellow_1.png,Scene1,0.3,0.7,0.3,0.7,,
playground_bad_yellow_2.png,Scene2,0.4,0.7,0.4,0.7,,
playground_bad_yellow_3.png,Scene3,0.4,0.7,0.4,0.8,,
playground_good_blue_1.png,Scene1,0.4,0.8,0.3,0.9,,
playground_good_blue_2.png,Scene2,0.4,0.8,0.4,0.9,,
playground_good_blue_3.png,Scene3,0.4,0.8,0.4,0.9,,
playground_good_green_1.png,Scene1,0.4,0.8,0.3,0.9,,
playground_good_green_2.png,Scene2,0.4,0.8,0.4,0.9,,
playground_good_green_3.png,Scene3,0.4,0.8,0.4,0.9,,
playground_good_yellow_1.png,Scene1,0.4,0.8,0.3,0.9,,
playground_good_yellow_2.png,Scene2,0.4,0.8,0.4,0.9,,
